"No.","Time","Source","Destination","Protocol","Length","Info"
"722175","104.338577994","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x841ccfc,Begin:0xf76c49ae,Len:0xb3e3c009)  "
"725626","104.801003660","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x51150b01,Begin:0x820854f0,Len:0xf4b4d121)  "
"737702","106.366899387","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x78aa7078,Begin:0x22099813,Len:0x68774229)  "
"757586","108.817436936","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x71462484,Begin:0x3427e150,Len:0xe46c7899)  "
"757940","108.842280013","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xae4d2a57,Begin:0x3699cb1a,Len:0xf0759f23)  "
"757947","108.843429579","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"765009","109.839840842","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x182eb110,Begin:0xefc8fd89,Len:0xd7549126)  "
"768966","110.405888851","93.143.180.252","10.120.0.102","BitTorrent","1170","Piece[Malformed Packet]"
"775770","111.426425649","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"776921","111.592800314","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"776953","111.604083109","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"782548","112.560504806","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x91f8a458,Begin:0x77a9e24,Len:0xf917149a)  "
"784558","112.892917990","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xf7a13e70,Begin:0xf1b5b9ae,Len:0xda7759fb)  "
"784579","112.894101316","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x45339666,Begin:0xf9fbcc84,Len:0xa87457cf)  "
"788289","113.456050030","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xbc428ab1,Begin:0xa72e1714,Len:0xb6e23ae8)  "
"789249","113.612206277","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"789560","113.647382325","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xcc4bbe8f,Begin:0x63e9aa09,Len:0x27c680ca)  "
"789607","113.650159749","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xdd507411,Begin:0x3db69bab,Len:0xe27efc4c)  "
"792738","114.160404494","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"792789","114.169906948","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x1c57a2a4,Begin:0x1e1dca39,Len:0xdc201d65)  "
"802334","115.623464739","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"804708","115.993543381","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xe1ba47f,Begin:0x30a079d1,Len:0xc3059054)  "
"805844","116.159644738","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xe649d04b,Begin:0x33b4c3be,Len:0xe2cfa323)  "
"805904","116.172575982","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xedd66922,Begin:0xda926384,Len:0xf6480342)  "
"807975","116.582144408","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"808545","116.685676279","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x30ee3d33,Begin:0xbbd8469f,Len:0x209f53ce)  "
"810898","117.172353475","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"813171","117.541648733","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x7a115cfb,Begin:0x34b873d1,Len:0x53cfd96a)  "
"813971","117.652540094","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x5d708969,Begin:0xaf733633,Len:0x6b56950e)  "
"814538","117.729092410","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"817011","118.090436057","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x80523179,Begin:0x169bfb9a,Len:0x478e887d)  "
"821115","118.685637287","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xf0b878e3,Begin:0x37d350b5,Len:0xaac3a0f2)  "
"821562","118.732982308","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x14bf0a45,Begin:0x45f54e86,Len:0x4e7cab2)  "
"827927","119.578060474","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"828520","119.660508946","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x3a750abc,Begin:0xf910dda1,Len:0x5cd4730d)  "
"832266","120.166180866","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x63404cf0,Begin:0x7ca07b96,Len:0xf38bc187)  "
"835037","120.573912106","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x7e80821c,Begin:0xc766873d,Len:0x9d6be456)  "
"835080","120.579489150","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"835117","120.583935606","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"835875","120.681224255","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xa4f86677,Begin:0x1f28051c,Len:0x7c648d69)  "
"835975","120.690903659","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"836124","120.709483028","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xf857f17e,Begin:0xcff0124f,Len:0x8557dd69)  "
"836205","120.719735871","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xa3db888f,Begin:0xacb53650,Len:0x47b8ec01)  "
"843017","121.597974841","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x99edf6ec,Begin:0x5dc8d7d1,Len:0x3ea95e90)  "
"846867","122.073010511","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xd0d4b8a7,Begin:0xc43ac4e6,Len:0x36ba6a0b)  "
"846881","122.074776978","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x2abf53cf,Begin:0x98d1643b,Len:0x817f2185)  "
"846935","122.083829089","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x176e31df,Begin:0xa0675f7f,Len:0x48b3c659)  "
"846957","122.087278010","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xba6aad01,Begin:0x4ac1d6b9,Len:0xe1922096)  "
"847217","122.121589529","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"847221","122.121694698","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x8d40e11f,Begin:0xd4305352,Len:0x3a79e4d8)  "
"854093","123.077332378","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x833e8b00,Begin:0xf3ae3b80,Len:0x3effa98)  "
"855550","123.238007223","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"859084","123.652465264","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xb02256a8,Begin:0x6353630b,Len:0x6a6c0919)  "
"863120","124.154872658","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"863133","124.158406638","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xd84c445b,Begin:0x52282a1c,Len:0x18ff418)  "
