"No.","Time","Source","Destination","Protocol","Length","Info"
"1043901","149.514549283","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1044689","149.624527287","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xdb242d0,Begin:0xf69e8503,Len:0x315b05ea)  "
"1046619","149.878115555","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xee8c2c6b,Begin:0xd705417a,Len:0xc114f32f)  "
"1047510","150.007091954","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1050157","150.425551175","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x5299eae1,Begin:0xa221ff41,Len:0xa94ac1b6)  "
"1050693","150.495123844","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1053490","150.909208980","64.66.221.143","10.120.0.102","BitTorrent","1175","[TCP Previous segment not captured] Cancel, Piece (Idx:0xf77be75a,Begin:0xe41c2caf,Len:0xa59e05f3)  "
"1053609","150.919452053","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xcc907eba,Begin:0xde65cb3a,Len:0x62e3204f)  "
"1057715","151.475793539","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x6b98527e,Begin:0xae8bfe4e,Len:0xad20daca)  "
"1057764","151.488109863","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1059261","151.656761652","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1059292","151.661213699","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xa61724ae,Begin:0x1644d5f,Len:0xbfeb8651)  "
"1062185","151.978175160","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x2b866ba5,Begin:0x65ff32e3,Len:0x1e974482)  "
"1062794","152.046326359","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1063311","152.118943169","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1066448","152.521685838","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x7c3ca44c,Begin:0xa68c1c52,Len:0x5a16cddb)  "
"1067897","152.686365484","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1073876","153.508491185","64.66.221.143","10.120.0.102","BitTorrent","1132","Piece[Malformed Packet]"
"1073930","153.514198797","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1074190","153.544521945","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x6e0874c2,Begin:0x55b8acd8,Len:0x57c9653c)  "
"1074200","153.544932180","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xcdf8d3fd,Begin:0xc64ff958,Len:0xd5abf96f)  "
"1074283","153.555673107","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xf7afe428,Begin:0x9d93e961,Len:0x12cf997c)  "
"1075533","153.705999687","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x4004c937,Begin:0x40e4ffd4,Len:0xf08c5b01)  "
"1085021","154.955116509","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xdb4cc48b,Begin:0x9e37c113,Len:0x8d9c1de0)  "
"1090196","155.747273813","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1096555","156.628570772","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x1c4dbb2a,Begin:0x14eb232,Len:0x3a9ee3df)  "
"1112336","158.777721761","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x820aee76,Begin:0xa03538de,Len:0xeabd7665)  "
"1122578","160.315960807","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1124268","160.674381886","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x7fda2780,Begin:0xbfb8c145,Len:0xf33fe4e)  "
"1128815","161.432239053","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x782f0687,Begin:0x50ddb105,Len:0xe961dca)  "
"1141079","163.295188535","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xbd766e49,Begin:0xbe465230,Len:0x28488050)  "
"1141194","163.312138518","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1141222","163.315643801","64.66.221.143","10.120.0.102","BitTorrent","1045","[TCP Previous segment not captured] Cancel, Piece (Idx:0x36dba858,Begin:0xb0822535,Len:0x43b2b338)  "
"1144693","163.958458823","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x63ccaac2,Begin:0x32ea4de0,Len:0xf1f81817)  "
"1144721","163.964003577","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x7db5ad02,Begin:0xcaa92e74,Len:0xbb368575)  "
"1145933","164.209098508","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xbb86a8a0,Begin:0x44ba086f,Len:0x9eeef32)  "
"1146131","164.255741123","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xaf994175,Begin:0x7420268f,Len:0x40f158ef)  "
"1146453","164.301064357","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1146788","164.375511200","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1149835","164.854311579","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1151462","165.142938622","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x91fc710e,Begin:0x2ae5391c,Len:0xcb10804f)  "
"1151673","165.162460346","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x212b85ca,Begin:0xe656a5c1,Len:0x35f2ae6e)  "
"1152967","165.375082158","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1153863","165.523985207","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x27fefa0e,Begin:0xbceca131,Len:0xb161a5a9)  "
"1154995","165.739253023","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xd5343ef7,Begin:0x9574be73,Len:0x4e0b7425)  "
"1155668","165.878654630","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x90fb640f,Begin:0xb836450d,Len:0x2ad2504f)  "
"1158203","166.294203762","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1161071","166.764524659","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x5b4ccc34,Begin:0xda5e4b68,Len:0xf678ac98)  "
"1163624","167.182345339","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x3d9df12e,Begin:0x5543bf50,Len:0x9e19b660)  "
"1169320","168.024764637","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1173802","168.754851348","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x2718e743,Begin:0x1fd7941,Len:0x12b0e04f)  "
"1174577","168.886640625","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1177708","169.381612647","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xd8d0285f,Begin:0x171746ac,Len:0xe49cb69)  "
"1180191","169.738626995","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x8555477f,Begin:0x3d163a61,Len:0xadf039e6)  "
"1180317","169.761705873","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1181586","169.917420092","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1182392","170.026160401","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x1082ba7a,Begin:0xf0717c4d,Len:0xb9334462)  "
"1187264","170.685018979","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xc935db30,Begin:0x7f240701,Len:0xed28202c)  "
"1188269","170.802224531","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xe4f9f9c6,Begin:0x864f2828,Len:0x169a8a7d)  "
"1190356","171.076112866","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1192326","171.360285954","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x88207f57,Begin:0x3fe6a2d6,Len:0xe693cb7e)  "
"1195526","171.817027200","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x53d0c3ed,Begin:0x854e6c5f,Len:0xee9158df)  "
